Key,Source,Context,Max Line Width,English,Francais,German
dysentery,buffs,Buff,,赤痢 1,,Dysentery 1
dysentery2,buffs,Buff,,赤痢 2,,Dysentery 2
dysentery2Desc,buffs,Buff,,赤痢ステージ2になりました。あなたは吐き気と出血性の下痢を発症しています。病気を治療するには抗ウイルス薬が必要です。,,You feel nauseated and have bloody diarrhea. Use antibiotics to cure the sickness.
dysentery2Tooltip,buffs,Buff,,dysentery2,,You feel nauseated and have bloody diarrhea. Use antibiotics to cure the sickness.
dysenteryDesc,buffs,Buff,,赤痢ステージ1を発症しました。アキノキリンソウで作るお茶を飲めば治るでしょう。,,You feel sick to your stomach and have diarrhea. Goldenrod tea may help.
dysenteryTooltip,buffs,Buff,,dysentery,,You feel sick to your stomach and have diarrhea. Goldenrod tea may help.
firstAid,buffs,Buff,,応急処置による回復,,First Aid
firstAidDesc,buffs,Buff,,あなたは救急用包帯を使用して、現在回復中です。,,You applied a first aid bandage and are now healing.
firstAidLarge,buffs,Buff,,救急処置による回復,,First Aid
firstAidLargeDesc,buffs,Buff,,あなたは救急キットを使用して、現在回復中です。,,You applied first aid and are now healing.
firstAidLargeTooltip,buffs,Buff,,first Aid Large,,You applied first aid and are now healing.
firstAidTooltip,buffs,Buff,,first Aid,,You applied first aid and are now healing.
foodPoisoning,buffs,Buff,,食中毒,,Food Poisoning
foodPoisoningDesc,buffs,Buff,,食中毒になりました。しばらく走ることができなくなるでしょう。,,You feel sick to your stomach.
foodPoisoningTooltip,buffs,Buff,,food Poisoning,,You feel sick to your stomach.
freezing,buffs,Buff,,凍えている,,Freezing
freezingDesc,buffs,Buff,,凍てつく寒さで凍えています。衣服を着用するか、ここから退避するか、キャンプファイアで火を起こして温まってください。\n凍えていると多くのカロリーを消費します。,,"You are freezing. Find clothing, take shelter or build a campfire. When you're freezing you will burn more calories."
freezingTooltip,buffs,Buff,,freezing,,"You are freezing. Find clothing, take shelter or build a campfire."
freshAir,buffs,Buff,,新鮮な空気,,Fresh Air
freshAirDesc,buffs,Buff,,空気が吸えるって素晴らしい。,,
freshAirTooltip,buffs,Buff,,freshAir,,
fullBuff,buffs,Buff,,回復中,,Healing
fullBuffDesc,buffs,Buff,,十分な満腹度でゆっくり傷が回復しています。,,You have enough consumed food to slowly heal.
fullBuffTooltip,buffs,Buff,,full Buff,,You have enough consumed food to slowly heal.
hangover,buffs,Buff,,二日酔い,,Hangover
hangoverDesc,buffs,Buff,,二日酔い発症中です。どうしてあそこでアルコールを飲むのを辞めなかったのだろうと後悔しています。,,You have a hangover. Now you know for how long and you wish you didn't.
hangoverTooltip,buffs,Buff,,hangover,,You have a hangover.
heat1,buffs,Buff,,熱中症1,,Heat Stroke 1
heat1Desc,buffs,Buff,,熱中症ステージ1を発症しました。活動をやめ休むか、陰がある所に避難してください。この状態は喉の渇きを早めます。,,"You're experiencing Heat Stroke Stage 1. You should rest, find water or shelter. With a heat stroke you will dehydrate faster."
heat1Tooltip,buffs,Buff,,heat1,,"You're experiencing Heat Stroke Stage 1. You should rest, find water or shelter."
heat2,buffs,Buff,,熱中症2,,Heat Stroke 2
heat2Desc,buffs,Buff,,熱中症ステージ2を発症しました。活動をやめ休むか、陰がある所に避難してください。さもないと死にます。この状態は喉の渇きを早めます。,,"You're experiencing Heat Stroke Stage 2. You must rest, find water or shelter or you'll die. With a heat stroke you will dehydrate faster."
heat2Tooltip,buffs,Buff,,heat2,,"You're experiencing Heat Stroke Stage 2. You must rest, find water or shelter or you will die."
hungry,buffs,Buff,,空腹,,Hungry
hungry2,buffs,Buff,,飢え,,Starving
hungry2Desc,buffs,Buff,,あなたは飢え死にしかかっています。この際、腐った肉でも口にしたい気分です。\n健康値が大きく下がっていきます。,,You are starving.
hungry2Tooltip,buffs,Buff,,hungry2,,You are starving.
hungryDesc,buffs,Buff,,お腹が減っています。健康値が下がります。,,You are hungry.
hungryTooltip,buffs,Buff,,hungry,,You are hungry.
hypo1,buffs,Buff,,低体温症 1,,Hypothermia 1
hypo1Desc,buffs,Buff,,低体温症ステージ1を発症しました。もっと温かい衣服を着るか、室内に避難するか、キャンプファイアで暖をとってください。,,"You're experiencing Hypothermia Stage 1. Find clothing, take shelter or build a campfire. With hypothermia you will burn more calories."
hypo1Tooltip,buffs,Buff,,hypo1,,"You're experiencing Hypothermia Stage 1. Find clothing, take shelter or build a campfire."
hypo2,buffs,Buff,,低体温症 2,,Hypothermia 2
hypo2Desc,buffs,Buff,,低体温症ステージ2を発症しました。もっともっと温かい衣服を着るか、室内に避難するか、キャンプファイアで暖をとってください。死に近づいています。,,"You're experiencing Hypothermia Stage 2. Find clothing, shelter or a campfire or you will die soon. With hypothermia you will burn more calories."
hypo2Tooltip,buffs,Buff,,hypo2,,"You're experiencing Hypothermia Stage 2. Find clothing, shelter or a campfire or you will die soon."
hypo3,buffs,Buff,,低体温症 3,,Hypothermia 3
hypo3Desc,buffs,Buff,,低体温症ステージ3を発症しました。もっともっともっと温かい衣服を着るか、室内に避難するか、キャンプファイアで暖をとってください。じきに死にます。,,"You're experiencing Hypothermia Stage 3. Find clothing, shelter or a campfire or die. With hypothermia you will burn more calories."
hypo3Tooltip,buffs,Buff,,hypo3,,"You're experiencing Hypothermia Stage 3. Find clothing, shelter or a campfire or die."
infection,buffs,Buff,,感染症,,Infection
infection1,buffs,Buff,,感染 1,,Infection 1
infection1Desc,buffs,Buff,,感染ステージ1が発症しました。感染症を治すには抗ウイルス薬を飲むかハチミツで治ります。\n体がだるく、かゆみがあります。,,You are infected. Use antibiotics to heal the infection.
infection1Tooltip,buffs,Buff,,infection1,,You are infected. Use antibiotics to heal the infection.
infection2,buffs,Buff,,感染 2,,Infection 2
infection2Desc,buffs,Buff,,感染ステージ2に進行しました。早く抗ウイルス薬を見つけ、飲みましょう。\n全身に耐えようのないかゆみがあります。,,Your infection is progressing. Use antibiotics to heal the infection.
infection2Tooltip,buffs,Buff,,infection2,,Your infection is progressing. Use antibiotics to heal the infection.
infection3,buffs,Buff,,感染 3,,Infection 3
infection3Desc,buffs,Buff,,感染ステージ3に進行しました。死にそうです。早く抗ウイルス薬を見つけ、飲みましょう。\n体をかきむしるほどのかゆみがあります。,,You are dying from infection. Use antibiotics to heal the infection.
infection3Tooltip,buffs,Buff,,infection3,,You are dying from infection. Use antibiotics to heal the infection.
infection4,buffs,Buff,,感染 4,,Infection 4
infection4Desc,buffs,Buff,,感染が致死段階に達しました。かゆい・・・うま・・・,,Your infection has reached its lethal phase.
infection4Tooltip,buffs,Buff,,infection4,,Your infection has reached its lethal phase.
infectionDesc,buffs,Buff,,感染してしまいました。抗ウイルス薬、抗ウイルスハーブ、またはハチミツを服用してください。体がだるく、かゆみがあります。,,"You are infected. Use antibiotics, honey or herbal antibiotics to heal the infection. If left untreated you will get weaker and eventually die."
infectionTooltip,buffs,Buff,,infection,,"You are infected. Use antibiotics, honey or herbal antibiotics to heal the infection."
InstantSickDrunk,buffs,Buff,,即泥酔,,
internalBleeding,buffs,Buff,,内出血,,Internal Bleeding
internalBleedingDesc,buffs,Buff,,内出血を起こしています。緊急処置室ではやく手術してください。,,You are bleeding internally. Better hope you find an emergency room in time.
internalBleedingTooltip,buffs,Buff,,internal Bleeding,,You are bleeding internally. Better hope you find an emergency room in time.
overheated,buffs,Buff,,熱中症気味,,Overheated
overheatedDesc,buffs,Buff,,暑さにバテてしまっています。影に入って休みましょう。喉が早く乾いてしまいます。,,"You're overheating. Rest, find water or shelter. When hot you will dehydrate faster."
overheatedTooltip,buffs,Buff,,overheated,,"You're overheating. Rest, find water or shelter."
painKillers,buffs,Buff,,痛み止め服用,,Pain Killers
painKillersDesc,buffs,Buff,,痛み止めを飲みました。,,You took painkillers.
painKillersTooltip,buffs,Buff,,painKillers,,You took painkillers.
redTeaCooling,buffs,Buff,,冷却,,Cool Drink
redTeaCoolingDesc,buffs,Buff,,キンキンに冷えてやがるっ・・・！,,You feel cooler.
redTeaCoolingTooltip,buffs,Buff,,red Tea Cooling,,You feel cooler.
shotgunWound,buffs,Buff,,銃創,,Winded
shotgunWoundDesc,buffs,Buff,,風穴があいちゃってる！,,That knocked the wind right out of you!
shotgunWoundTooltip,buffs,Buff,,shotgun Wound,,Oof! That knocked the wind right out of you!
sickDrunk,buffs,Buff,,泥酔状態,,Sick Drunk
sickDrunkDesc,buffs,Buff,,あなたは酔っぱらいを越えて泥酔状態です。酒が抜けるまでまともに動けないでしょう。,,You are extremely drunk. There may be a duration but you can't figure it out.
sickDrunkTooltip,buffs,Buff,,sick Drunk,,You are extremely drunk.
sleeping,buffs,Buff,,休息,,Resting
sleepingAwesome,buffs,Buff,,十分な休息,,Resting
sleepingAwesomeDesc,buffs,Buff,,十分な休息により、体力とスタミナが徐々に回復するボーナスを得ます。,,You are resting. Health and stamina recover faster when resting.
sleepingAwesomeTooltip,buffs,Buff,,sleeping Awesome,,You are resting. Health and stamina recover faster when resting.
sleepingDesc,buffs,Buff,,休息により、体力とスタミナが回復していきます。,,You are resting. Health and stamina recover faster when resting.
sleepingTooltip,buffs,Buff,,sleeping,,You are resting. Health and stamina recover faster when resting.
smell,buffs,Buff,,ニオイを発します。,,Emitting Smell
smellDesc,buffs,Buff,,あなたはゾンビを惹きつけるニオイをもつ何かを持っています。別の場所に移し替えたほうが賢明かもしれません。,,You are carrying something that smells and attracts zombies. Store it in a container.
smellTooltip,buffs,Buff,,smell,,You are carrying something that smells and attracts zombies. Store it in a container.
smelly,buffs,Buff,,臭い,,Smelly
smellyDesc,buffs,Buff,,お前臭い,,You stink.
smellyTooltip,buffs,Buff,,smelly,,You stink.
splintedLeg,buffs,Buff,,骨折治療中,,Splinted Leg
splintedLegDesc,buffs,Buff,,骨折した足は現在治療中です。飛び降りるときはいつも以上に気をつけてください。\n回復するまで骨折しやすくなっています。,,Your leg is splinted. Give it time to heal. Avoid jumping from heights as splints do not protect against reinjuring your leg.
splintedLegTooltip,buffs,Buff,,splinted Leg,,Your leg is splinted. Give it time to heal.
sprainedLeg,buffs,Buff,,捻挫,,Sprained Leg
sprainedLegDesc,buffs,Buff,,足を捻挫しました。Splintで治療してください。,,Your leg is sprained and slowing you down. You should craft and apply a splint to heal it.
sprainedLegTooltip,buffs,Buff,,sprained Leg,,Your leg is sprained. You need a splint to heal it faster.
steroids,buffs,Buff,,ステロイド服用中,,Steroids
steroidsDesc,buffs,Buff,,感染の免疫を持っています。ゾンビに噛まれても感染しません。,,Reduces swelling and suppresses the symptoms of infection.
steroidsTooltip,buffs,Buff,,steroids,,Reduces swelling and suppresses the symptoms of infection.
stewWarming,buffs,Buff,,暖かくて美味しい食事,,A nice hot stew
stewWarmingDesc,buffs,Buff,,寒い夜に暖かいものを食べる幸せ。ポカポカします。,,Just the thing to warm you up on a cold winter's nights.
stewWarmingTooltip,buffs,Buff,,stew Warming,,"Your heart, soul, and the rest of you already feel warmer."
stunned,buffs,Buff,,硬直,,Stunned
stunnedDesc,buffs,Buff,,身体の自由が効きません。次の一撃に備えてください。,,You are stunned
stunnedTooltip,buffs,Buff,,stunned,,You are stunned
thirsty,buffs,Buff,,喉の渇き,,Thirsty
thirsty2,buffs,Buff,,脱水症,,Dehydrated
thirsty2Desc,buffs,Buff,,脱水症を発症しました。この際、ナニカが入った水でもいいから飲んで喉を潤してください。,,You are very thirsty and should drink plenty of fluids.
thirsty2Tooltip,buffs,Buff,,thirsty2,,You are very thirsty and should drink plenty of fluids.
thirstyDesc,buffs,Buff,,のどが渇いています。喉を潤してください。,,You are thirsty. Drink fluids.
thirstyTooltip,buffs,Buff,,thirsty,,You are thirsty. Drink fluids.
warmByFire,buffs,Buff,,火のぬくもり,,Warmed By A Fire
warmByFireDesc,buffs,Buff,,火のぬくもりがあなたを温めています。,,You feel warm by the fire.
warmByFireTooltip,buffs,Buff,,warm By Fire,,You feel warm by the fire.
wellness,buffs,Buff,,健康,,Gain Wellness
wellnessDesc,buffs,Buff,,より健康的になりました。,,You are gaining health.
wellnessSmallGain,buffs,Buff,,健康値上昇,,Wellness Improved
wellnessSmallGainDesc,buffs,Buff,,より健康的になりました。,,Your wellness has improved.
wellnessSmallGainTooltip,buffs,Buff,,wellness Small Gain,,Your wellness has improved.
wellnessTooltip,buffs,Buff,,wellness,,You are gaining health.
wet,buffs,Buff,,びしょ濡れ,,Wetness
wetDesc,buffs,Buff,,衣服が濡れています。風が吹くと体感温度が下がります。,,You are wet which will make you colder. This may or may not be a good thing.
wetTooltip,buffs,Buff,,wet,,You are wet.
yuccaJuiceCooling,buffs,Buff,,ひんやり,,Cool Drink
yuccaJuiceCoolingDesc,buffs,Buff,,涼しさが染みこんできやがる・・・身体に・・・・,,You feel cooler.
yuccaJuiceCoolingTooltip,buffs,Buff,,yucca Juice Cooling,,You feel cooler.
wellnessDecreased,buffs,Tooltip,,Wellness ({0}): Maximum health and stamina cap decreased to {1},,Wellness ({0}): Maximum health and stamina cap decreased to {1}
wellnessIncreased,buffs,Tooltip,,Wellness (+{0}): Maximum health and stamina cap increased to {1},,Wellness (+{0}): Maximum health and stamina cap increased to {1}
animalBear,entityclasses,Entity,,クマ,,Bear
animalChicken,entityclasses,Entity,,ニワトリ,,Chicken
animalPig,entityclasses,Entity,,ブタ,,Pig
animalRabbit,entityclasses,Entity,,ウサギ,,Rabbit
animalStag,entityclasses,Entity,,シカ,,Stag
burntzombie,entityclasses,Entity,,焼けゾンビ,,Burn Victim
fatzombiecop,entityclasses,Entity,,腐敗警官,,Infected Policeman
hornet,entityclasses,Entity,,巨大蜂,,Hornet
snowzombie,entityclasses,Entity,,雪ゾンビ,,Frozen Lumberjack
spiderzombie,entityclasses,Entity,,スパイダー,,Spider Zombie
zombieArlene,entityclasses,Entity,,オバタリアン,,Putrid Girl 
zombieBoe,entityclasses,Entity,,元サバイバー,,Infected Survivor
zombiecrawler,entityclasses,Entity,,這いずり,,Crawler
zombieDarlene,entityclasses,Entity,,J( 'ー`)し,,Decayed Mother 
zombiedog,entityclasses,Entity,,ゾンビ犬,,Zombie Dog
zombieferal,entityclasses,Entity,,フェラルウォーカー,,Feral Walker
zombieJoe,entityclasses,Entity,,膿んだ死体,,Festering Cadaver 
zombieMarlene,entityclasses,Entity,,腐敗女子,,Departed Woman 
zombieMoe,entityclasses,Entity,,デブゾンビ,,Bloated Walker 
zombieNurse,entityclasses,Entity,,悩殺看護婦,,Plagued Nurse
zombieScreamer,entityclasses,Entity,,貞子,,Screamer Zombie
zombieSteve,entityclasses,Entity,,社畜,,Reanimated Corpse 
zombieSteveCrawler,entityclasses,Entity,,這いずりゾンビ,,Crawler
zombieYo,entityclasses,Entity,,脳なし,,Rotting Carcass 
playersBackpack,entityclasses,Entity Info,,{0}'s backpack,,{0}'s backpack
wood,item,item,,木材,,Wood
woodDesc,item,item,,木材（wood）。素晴らしいツールも素晴らしい建築もこれから作られます。,,A piece of wood. Great for building tools and constructing wood frames for building.
qc_AnimalGroupDesc,items,Animal Challenge Note,,旅の途中で見つけた奇妙なメモ。 the Slick Willie クランのサインがされています。,,A strange note I discovered in my travels. It's from the Slick Willie Clan.
qc_buythefarm,items,Animal Challenge Note,,弔慰金で農場を買おう Challenge,,Buy the Farm Challenge
qc_dontfeedthebears,items,Animal Challenge Note,,クマがお腹をすかせて待ってる Challenge,,Don't Feed the Bears Challenge
qc_killthewabbit,items,Animal Challenge Note,,ウ”サ”キ” ヲ コ”ロ”セ” Challenge,,Kill The Wabbit Challenge
qc_nailsomechicks,items,Animal Challenge Note,,定番のチークネイル Challenge,,Nail Some Chicks Challenge
qc_stagparty,items,Animal Challenge Note,,スタッグパーティ開催 Challenge,,Stag Party Challenge
qc_thatlldopig,items,Animal Challenge Note,,ブタもおだてりゃ Challenge,,That'll Do Pig Challenge
10mmBullet,items,Item,,10mm弾薬,, 10mm Round
10mmBulletDesc,items,Item,,サブマシンガン用の弾薬。\n作成するにはSkillPointを貯めて、Perkを購入する必要があります。,,A 10mm round used as firearm ammunition. Can be crafted once you've purchased the perk.
10mmBulletSchematicDesc,items,Item,,サブマシンガン用の弾薬作成レシピ,,Learn to craft this ammunition type if you meet the skill requirement or improve your base skill if you do not.
762mmBullet,items,Item,,7.62mm弾薬,,7.62mm Round
762mmBulletDesc,items,Item,,AK-47（アサルトライフル）用の弾薬。\nこのPerkを購入すれば、レシピが開放されます。,,A 7.62mm round used as firearm ammunition. Can be crafted once you've purchased the perk.
9mmBullet,items,Item,,9mm弾薬,,9mm Round
9mmBulletDesc,items,Item,,ピストル用の弾薬。\n作成するにはSkillPointを貯めて、Perkを購入する必要があります。,,A 9mm round used as firearm ammunition. Can be crafted once you've purchased the perk.
9mmBulletSchematicDesc,items,Item,,ピストル用の弾薬作成レシピ,,Learn to craft this ammunition type if you meet the skill requirement or improve your base skill if you do not.
airFilter,items,Item,,空気清浄フィルター,,Car Air Filter
airFilterDesc,items,Item,,古い自動車の空気清浄フィルター\nスクラップにするか、強力な地雷の材料になります。,,An old car air filter. Scrap it or use it for a casing to make a makeshift landmine.
aloeCream,items,Item,,アロエクリーム,,Aloe Cream
aloeCreamDesc,items,Item,,アロエクリームは、回復効果を持つ救急用包帯の材料になります。,,Aloe cream can be used to craft first aid bandages.
animalFat,items,Item,,脂肪の塊,,Animal Fat
animalFatDesc,items,Item,,脂肪の塊は、キャンプファイアで精製油脂にして、ロウソクなどの材料になります。\nレシピ解放していれば火炎矢の材料になります。,,"Animal fat can be cooked down to tallow at a campfire. This is used for making candles, torches and flaming arrows."
animalHide,items,Item,,獣の皮,,Animal Hide
animalHideDesc,items,Item,,獣の皮は衣服を作成したり、Forgeに必要なbellowsの材料になります。レシピを解放すればLeatherの材料になります。,,"Use animal hide to make clothing, bellows for the forge and leather once you've read the leather book."
antibiotics,items,Item,,抗ウイルス薬,,Antibiotics
antibioticsDesc,items,Item,,抗ウイルス薬は、感染症と赤痢を治療することができる万能薬です。\nキャンプファイアにビーカーを設置していれば作成出来ます。,,Antibiotics can cure infections and dysentery. Can be crafted in a beaker at a campfire.
anvil,items,Item,,金床,,Anvil
anvilDesc,items,Item,,基本的なフォージのレシピを開放します。,,A tool used in the forge to unlock recipes.
arrow,items,Item,,矢,,Arrow
arrowDesc,items,Item,,弓を装備した状態でリロードを行うと装備します。,,Ammunition for a bow. Hold reload to use alternate ammo.
militaryFiber,items,Item,,防弾防刃繊維,,Military Fiber
militaryFiberDesc,items,Item,,軍用規格クリア品。\n軍の装備修理に必要です。,,Military grade synthetic fibers are used to repair military armor. (ballistic armor to be accurate)
bandage,items,Item,,包帯,,Bandage
bandageDesc,items,Item,,シンプルな包帯（bandage）です。\n出血状態を回復出来ます。,,A simple bandage. Use it to stop bleeding.
beaker,items,Item,,ビーカー,,Beaker
beakerDesc,items,Item,,ビーカー（beaker）。キャンプファイアにセットすれば、抗ウイルス薬やその他重要なレシピが増えます。,,A cooking utensil used in the campfire to unlock recipes.
bellows,items,Item,,ふいご,,Bellows
bellowsDesc,items,Item,,ふいご（bellows）。高温が必要なフォージのクラフトに欠かせないアイテムです。,,"Bellows made with wood, animal hide and pipes are needed to make a forge."
bioFuel,items,Item,,バイオ燃料,,Biofuel
bioFuelDesc,items,Item,,バイオ燃料（bio fuel）。gas canの材料になります。,,Biofuel is made at the campfire and can be used to make gasoline.
blueberries,items,Item,,ブルーベリー,,Blueberries
blueberriesDesc,items,Item,,ブルーベリー（blueberry）はそのまま生でも食べられますし、ブルーベリーパイの材料にもなります。\n種にして土に植えれば増やせます。,,"Blueberries can be eaten, used to make pies or turned into blueberry seeds."
blueberrySeed,items,Item,,ブルーベリーの種,,Blueberry Seeds
blueberrySeedDesc,items,Item,,土に植えればBlueberryが育ちます。,,Plant blueberry seeds in fertile dirt to grow blueberry plants.
blueSpruceSeed,items,Item,,白樹の種,,Blue Spruce Seed
boneShiv,items,Item,,骨ナイフ,,Bone Shiv
boneShivDesc,items,Item,,骨から作ったナイフ（boneShiv）。武器としては頼りないですが、死体から皮や肉を剥ぐのに適しています。,,This primitive makeshift weapon is also useful for gutting animals.
book,items,Item,,本,,Book
bookDesc,items,Item,,このウェイストランドで役立つことは書かれていません。紙にするぐらいしか活用法がありません。,,An old book will get you paper.
bowl,items,Item,,粘土の器,,Clay Bowl
bowlDesc,items,Item,,何かの役に立つかもしれない器（bowl）,,Maybe it's useful for something.
brokenGlass,items,Item,,割れたガラスの破片,,Broken Glass
brokenGlassDesc,items,Item,,割れたガラスの破片（broken glass）はこのウェイストランドでは役に立ちます。\n食べて天国に逝ける他、フォージで溶解して新しいガラスとして生まれ変わらせましょう。,,Broken glass can be smelted into glass at the forge or used to end it all if the apocalypse is just too much for you.
bucket,items,Item,,空のバケツ,,Bucket
bucketDesc,items,Item,,空のバケツ（bucket）は水を汲み、運搬することが出来ます。水を撒けば再度空のバケツになります。,,An empty bucket can be used to fill up and transport water.
bulletCasing,items,Item,,薬莢,,Bullet Casing
bulletCasingDesc,items,Item,,空の薬莢（bullet casting）。弾薬の材料になります。\n自分で作成するにはいずれかの弾薬クラフトperkを購入し、forgeのanvilを揃える必要があります。,,Bullet casings can be crafted at the forge after buying an ammo perk and are used to craft firearm ammunition.
bulletTip,items,Item,,弾頭,,Bullet Tip
bulletTipDesc,items,Item,,弾頭（bullet Tip）。弾薬の材料になります。\n自分で作成するにはいずれかの弾薬クラフトperkを購入し、forgeのcaliperを揃える必要があります。,,Bullet tips can be crafted at the forge after buying an ammo perk and are used to craft firearm ammunition.
calipers,items,Item,,ノギス,,Calipers
calipersDesc,items,Item,,ノギス（Calipers）。フォージにセットすれば、レシピを増やします。,,A tool used in the forge to unlock recipes.
candle,items,Item,,ロウソク,,Candle
candleDesc,items,Item,,ロウソク（candle）は精製獣脂（tallow）と植物繊維（plant ｆｉｂｅｒ）で作成出来ます。ふんわりした明るさで、室内照明などによく使われます。,,A candle made of tallow and plant fibers can be carried or placed for a light source.
candleStick,items,Item,,真鍮の燭台,,Brass Candlestick
candleStickDesc,items,Item,,真鍮製（brass）のアイテムです。スクラップにしてフォージで溶解しましょう。,,Brass objects can be scrapped into scrap brass in your backpack or smelted in a forge as a core resource.
candyTin,items,Item,,キャンディ缶,,Candy Tin Can
candyTinDesc,items,Item,,おばあちゃんが孫のために作ったキャンディ・・・は捨てて、缶をスクラップ鉄にしたり、地雷の材料として使います。,,Grandma's candy tin. Good for scrapping or a perfect casing for a yummy home cooked land mine!
canEmpty,items,Item,,空き缶,,Empty Can
canEmptyDesc,items,Item,,空き缶（empty can）はスクラップにしたり、水場で泥水を汲むことが出来ます。,,An empty can which you can scrap or fill with water.
carBattery,items,Item,,鉛蓄電池,,Lead Car Battery
carBatteryDesc,items,Item,,車用鉛蓄電池（car battery）は、ミスポットライトの素材になる他、ミニバイクのパーツになります。スクラップにすれば多くの鉛が手に入ります。,,"Car batteries can be used in vehicles, scrapped for lead in your backpack or smelted at the forge for lead."
casinoCoin,items,Item,,Dukeカジノコイン,,Duke's Casino Token
casinoCoinDesc,items,Item,,Dukeカジノコイン。戦争後、Navezganeの主な通貨として流通しています。,,A Duke's casino coin. After the epidemic and war it became the main currency for trading in Navezgane.
cement,items,Item,,セメント,,Cement
cementDesc,items,Item,,セメント（cement）は敷石（flagstone）の材料や、コンクリートに使われます。\n作成するにはperkを購入する必要があります。,,Cement can be used to craft flagstone and concrete once you've bought the concrete perk.
chrysanthemum,items,Item,,赤いキク,,Chrysanthemum
chrysanthemumDesc,items,Item,,この赤い花（chysanthemum）は、紅ハーブティーの材料になります。,,Chrysanthemum can be used to brew red tea.
clayLump,items,Item,,粘土の塊,,Lump of Clay
clayLumpDesc,items,Item,,粘土の塊（clay lump）。粘土は製錬の鍵となる資源です。地図上の茶色のエリアや水場の底を掘ると手に入れられます。,,"Clay a key resource for forging can be seen as brown spots on the map, found along bodies of water & dug from the earth. "
cloth,items,Item,,布,,Cloth Fragment
clothDesc,items,Item,,布（cloth）は、衣服や包帯になります。cottonや布製品のスクラップで作成出来ます。,,"Cloth is a staple for survival used for clothing, bandages and more."
coal,items,Item,,石炭の塊,,Lump of Coal
coalDesc,items,Item,,素晴らしい燃料になる他、gun powder（火薬）の材料になるだけでなく、torchの材料になります。,,A great fuel source. Can also be used to make torches as well as being a core ingredient for gunpowder.
cobblestones,items,Item,,玉石,,Cobblestone Rocks
cobblestonesDesc,items,Item,,玉石（cobblestone）の岩は玉石フレームに建築ツールで詰め込めば、驚くほど丈夫な玉石ブロックになります。,,Cobblestone rocks can be used to build surprisingly sturdy cobblestone structures.
concreteMix,items,Item,,コンクリートミックス,,Concrete Mix
concreteMixDesc,items,Item,,コンクリートミックス（concrete MIX）鉄筋フレームを鉄筋コンクリートにする材料になります。作成にはperkを購入してください。,,Can be used as a resource to make rebar frames into solid concrete walls once you've bought the concrete perk.
cookingGrill,items,Item,,クッキンググリル網,,Cooking Grill
cookingGrillDesc,items,Item,,クッキンググリル網（Cooking grill）。キャンプファイアにセットすれば、レシピを増やせます。,,A cooking utensil used in the campfire to unlock recipes.
corn,items,Item,,トウモロコシ,,Ear of Corn
cornDesc,items,Item,,トウモロコシ（corn）。生でも食べられますが、種にして育てたり、コーンミールをクラフトしたり、キャンプファイアで料理を作ったり、その用途は多岐にわたります。,,"An ear of corn can be eaten or used to make corn seed, corn meal, corn on the cob, stews and more."
cottonSeed,items,Item,,綿花の種,,Cotton Seed
cottonSeedDesc,items,Item,,土に植えれば綿花(cotton)が育ちます。,,Cotton seeds can be planted in dirt to grow cotton.
crushedSand,items,Item,,砕砂,,Crushed Sand
crushedSandDesc,items,Item,,砕砂（crushed sand）干しレンガブロックの材料の他、フォージで溶解すれば、ガラスになります。,,Crushed sand is a core resource that can be smelted in the forge to make glass and used to craft items.
doorKnob,items,Item,,真鍮製のドアノブ,,Brass Doorknob
doorKnobDesc,items,Item,,真鍮製（brass）のアイテムです。スクラップにしてフォージで溶解しましょう。,,Brass objects can be scrapped into scrap brass in your backpack or smelted in a forge as a core resource.
emptyJar,items,Item,,空き瓶,,Glass Jar
emptyJarDesc,items,Item,,空の瓶（empty jar）は、水場で右クリックをすると泥水が酌める他、ユッカジュースの材料になります。,,An empty glass jar can be filled at water sources using the secondary action or used in other recipes.
feather,items,Item,,羽根,,Feather
featherDesc,items,Item,,鳥の羽根（feather）。ニワトリや鳥の巣で見つかります。\n各矢や各クロスボウボルトの材料になります。,,Feathers are primarily found in bird nests & on chickens. They can be used to craft arrows and crossbow bolts.
femur,items,Item,,大きな骨,,Large Bone
femurDesc,items,Item,,大きく太い骨（femur）。ナイフにクラフトしたり、キャンプファイアで作れる接着剤の材料や、無いよりマシな近接武器として使えます。,,A rather ordinary femur. It could be useful.
firstAidBandage,items,Item,,救急用包帯,,First Aid Bandage
firstAidBandageDesc,items,Item,,救急用包帯（first Aid bandage）は、普通の包帯でも出来る止血だけでなく、傷の回復もしてくれます。,,A first aid bandage can stop bleeding and restore some health.
fishingWeight,items,Item,,鉛製釣り用重り,,Lead Fishing Weight
fishingWeightDesc,items,Item,,鉛製（lead）のアイテムです。スクラップにしてフォージで溶解しましょう。,,Lead objects can be scrapped into scrap lead in your backpack or smelted in a forge as a core resource.
flare,items,Item,,フレア,,Flare
forgedIron,items,Item,,製錬鉄,,Forged Iron
forgedIronDesc,items,Item,,製錬鉄（Forged iron）は、鉄のツールや、修繕やアップグレードに必要な素材です。,,"Can be crafted at the forge and be used to craft, repair and upgrade a variety of things."
forgedSteel,items,Item,,製錬鋼,,Forged Steel
forgedSteelDesc,items,Item,,製錬鋼（Forged steel）強力なツールの素材です。作成するにはperkの購入が必要です。,,Can be crafted at the forge after buying the Steel perk and can be used to make some of the strongest items.
gasCan,items,Item,,ｶﾞｿﾘﾝ,,Gas Can
